countid,hour,vehicles
777806,0,900
777806,1,584
777806,2,498
777806,3,445
777806,4,604
777806,5,1145
777806,6,2047
777806,7,2289
777806,8,2171
777806,9,2201
777806,10,2275
777806,11,2460
777806,12,2801
777806,13,3125
777806,14,3371
777806,15,3010
777806,16,2727
777806,17,2693
777806,18,2948
777806,19,2982
777806,20,2401
777806,21,1941
777806,22,1512
777806,23,1432
777810,0,353
777810,1,334
777810,2,586
777810,3,1383
777810,4,3343
777810,5,2871
777810,6,2924
777810,7,2849
777810,8,2805
777810,9,2754
777810,10,2681
777810,11,2666
777810,12,2808
777810,13,2934
777810,14,2700
777810,15,2722
777810,16,2685
777810,17,2604
777810,18,2130
777810,19,1667
777810,20,1482
777810,21,1429
777810,22,883
777810,23,548
777813,0,264
777813,1,154
777813,2,126
777813,3,138
777813,4,238
777813,5,510
777813,6,1038
777813,7,1296
777813,8,1292
777813,9,1269
777813,10,1262
777813,11,1392
777813,12,1522
777813,13,1636
777813,14,1884
777813,15,2083
777813,16,2098
777813,17,2073
777813,18,1726
777813,19,1406
777813,20,1202
777813,21,915
777813,22,561
777813,23,483
777817,0,681
777817,1,508
777817,2,450
777817,3,502
777817,4,708
777817,5,1142
777817,6,1936
777817,7,2560
777817,8,2424
777817,9,2401
777817,10,2528
777817,11,2696
777817,12,2582
777817,13,2561
777817,14,2864
777817,15,3214
777817,16,3301
777817,17,3243
777817,18,2687
777817,19,2154
777817,20,1804
777817,21,1465
777817,22,1147
777817,23,1011
777818,0,262
777818,1,148
777818,2,116
777818,3,139
777818,4,249
777818,5,563
777818,6,1039
777818,7,1316
777818,8,1326
777818,9,1314
777818,10,1305
777818,11,1442
777818,12,1548
777818,13,1667
777818,14,1928
777818,15,2106
777818,16,2134
777818,17,2095
777818,18,1749
777818,19,1438
777818,20,1253
777818,21,937
777818,22,562
777818,23,448
777819,0,117
777819,1,96
777819,2,157
777819,3,394
777819,4,1115
777819,5,1328
777819,6,2192
777819,7,2348
777819,8,1885
777819,9,1680
777819,10,1539
777819,11,1422
777819,12,1460
777819,13,1452
777819,14,1481
777819,15,1536
777819,16,1506
777819,17,1418
777819,18,1183
777819,19,931
777819,20,743
777819,21,583
777819,22,365
777819,23,203
777822,0,130
777822,1,101
777822,2,159
777822,3,408
777822,4,1217
777822,5,1598
777822,6,2464
777822,7,2679
777822,8,2176
777822,9,1920
777822,10,1763
777822,11,1663
777822,12,1678
777822,13,1666
777822,14,1771
777822,15,1799
777822,16,1761
777822,17,1675
777822,18,1471
777822,19,1106
777822,20,888
777822,21,676
777822,22,415
777822,23,220
777830,0,241
777830,1,142
777830,2,117
777830,3,120
777830,4,206
777830,5,453
777830,6,883
777830,7,1124
777830,8,1143
777830,9,1180
777830,10,1187
777830,11,1314
777830,12,1417
777830,13,1537
777830,14,1794
777830,15,1936
777830,16,1962
777830,17,1891
777830,18,1599
777830,19,1364
777830,20,1201
777830,21,889
777830,22,534
777830,23,430
777831,0,116
777831,1,96
777831,2,164
777831,3,424
777831,4,1334
777831,5,1846
777831,6,2514
777831,7,2665
777831,8,2211
777831,9,1971
777831,10,1814
777831,11,1704
777831,12,1719
777831,13,1722
777831,14,1786
777831,15,1838
777831,16,1810
777831,17,1734
777831,18,1508
777831,19,1154
777831,20,906
777831,21,665
777831,22,425
777831,23,220
777832,0,600
777832,1,427
777832,2,369
777832,3,398
777832,4,584
777832,5,1056
777832,6,1873
777832,7,2621
777832,8,2365
777832,9,2272
777832,10,2337
777832,11,2563
777832,12,2496
777832,13,2587
777832,14,2912
777832,15,3398
777832,16,3638
777832,17,3591
777832,18,2965
777832,19,2210
777832,20,1823
777832,21,1451
777832,22,1097
777832,23,925
777843,0,473
777843,1,393
777843,2,431
777843,3,798
777843,4,2167
777843,5,3823
777843,6,4882
777843,7,4793
777843,8,4240
777843,9,3779
777843,10,3419
777843,11,3481
777843,12,3714
777843,13,3668
777843,14,3790
777843,15,3856
777843,16,3868
777843,17,3634
777843,18,2952
777843,19,2189
777843,20,1958
777843,21,1630
777843,22,1113
777843,23,711
777849,0,131
777849,1,83
777849,2,146
777849,3,296
777849,4,815
777849,5,1093
777849,6,1634
777849,7,1881
777849,8,1755
777849,9,1610
777849,10,1501
777849,11,1425
777849,12,1439
777849,13,1469
777849,14,1602
777849,15,1746
777849,16,1976
777849,17,1755
777849,18,1301
777849,19,871
777849,20,630
777849,21,502
777849,22,308
777849,23,179
777852,0,146
777852,1,103
777852,2,178
777852,3,417
777852,4,1166
777852,5,1531
777852,6,2018
777852,7,2143
777852,8,2239
777852,9,2120
777852,10,1928
777852,11,1814
777852,12,1754
777852,13,1773
777852,14,1924
777852,15,1991
777852,16,2064
777852,17,1916
777852,18,1453
777852,19,1009
777852,20,751
777852,21,599
777852,22,379
777852,23,213
777862,0,714
777862,1,485
777862,2,412
777862,3,450
777862,4,709
777862,5,1629
777862,6,3180
777862,7,4259
777862,8,3723
777862,9,3462
777862,10,3602
777862,11,3964
777862,12,3783
777862,13,3866
777862,14,4371
777862,15,4856
777862,16,4813
777862,17,4551
777862,18,4026
777862,19,3247
777862,20,2669
777862,21,2086
777862,22,1450
777862,23,1167
777892,0,169
777892,1,112
777892,2,191
777892,3,443
777892,4,1298
777892,5,1840
777892,6,2631
777892,7,3229
777892,8,3092
777892,9,2828
777892,10,2618
777892,11,2500
777892,12,2469
777892,13,2430
777892,14,2652
777892,15,2655
777892,16,2870
777892,17,2645
777892,18,1976
777892,19,1391
777892,20,1005
777892,21,792
777892,22,480
777892,23,262
777896,0,489
777896,1,401
777896,2,425
777896,3,708
777896,4,1652
777896,5,2382
777896,6,3106
777896,7,3190
777896,8,2771
