countid,hour,vehicles
777896,9,2543
777896,10,2392
777896,11,2585
777896,12,2566
777896,13,2606
777896,14,2690
777896,15,2725
777896,16,2671
777896,17,2685
777896,18,2348
777896,19,1803
777896,20,1657
777896,21,1424
777896,22,1019
777896,23,674
777898,0,330
777898,1,204
777898,2,160
777898,3,181
777898,4,407
777898,5,996
777898,6,1578
777898,7,1931
777898,8,2060
777898,9,1923
777898,10,1859
777898,11,1949
777898,12,2059
777898,13,2231
777898,14,2567
777898,15,3003
777898,16,3157
777898,17,3196
777898,18,2402
777898,19,1815
777898,20,1498
777898,21,1175
777898,22,790
777898,23,614
777905,0,87
777905,1,60
777905,2,98
777905,3,225
777905,4,706
777905,5,996
777905,6,1409
777905,7,1710
777905,8,1545
777905,9,1383
777905,10,1264
777905,11,1192
777905,12,1178
777905,13,1156
777905,14,1264
777905,15,1278
777905,16,1410
777905,17,1324
777905,18,969
777905,19,688
777905,20,512
777905,21,420
777905,22,264
777905,23,140
777908,0,87
777908,1,61
777908,2,98
777908,3,228
777908,4,716
777908,5,1007
777908,6,1212
777908,7,1444
777908,8,1513
777908,9,1387
777908,10,1258
777908,11,1176
777908,12,1161
777908,13,1141
777908,14,1229
777908,15,1270
777908,16,1387
777908,17,1302
777908,18,952
777908,19,672
777908,20,500
777908,21,418
777908,22,266
777908,23,140
777909,0,655
777909,1,445
777909,2,390
777909,3,445
777909,4,710
777909,5,1828
777909,6,2110
777909,7,2385
777909,8,2414
777909,9,2330
777909,10,2374
777909,11,2382
777909,12,2491
777909,13,2422
777909,14,2623
777909,15,2747
777909,16,2439
777909,17,2159
777909,18,2490
777909,19,2356
777909,20,2082
777909,21,1722
777909,22,1288
777909,23,1047
777911,0,474
777911,1,388
777911,2,415
777911,3,685
777911,4,1580
777911,5,2173
777911,6,2672
777911,7,2754
777911,8,2408
777911,9,2272
777911,10,2129
777911,11,2311
777911,12,2300
777911,13,2392
777911,14,2370
777911,15,2224
777911,16,1780
777911,17,1945
777911,18,2057
777911,19,1707
777911,20,1576
777911,21,1364
777911,22,993
777911,23,659
777916,0,180
777916,1,106
777916,2,86
777916,3,96
777916,4,214
777916,5,529
777916,6,850
777916,7,1080
777916,8,1150
777916,9,1030
777916,10,986
777916,11,1038
777916,12,1117
777916,13,1198
777916,14,1374
777916,15,1532
777916,16,1610
777916,17,1624
777916,18,1266
777916,19,980
777916,20,808
777916,21,630
777916,22,422
777916,23,334
777922,0,102
777922,1,69
777922,2,101
777922,3,228
777922,4,701
777922,5,1067
777922,6,1573
777922,7,1880
777922,8,1740
777922,9,1512
777922,10,1368
777922,11,1299
777922,12,1286
777922,13,1281
777922,14,1408
777922,15,1488
777922,16,1614
777922,17,1544
777922,18,1124
777922,19,798
777922,20,616
777922,21,506
777922,22,320
777922,23,177
777923,0,635
777923,1,429
777923,2,377
777923,3,437
777923,4,700
777923,5,1838
777923,6,2232
777923,7,2553
777923,8,2516
777923,9,2328
777923,10,2361
777923,11,2388
777923,12,2397
777923,13,2366
777923,14,2575
777923,15,2766
777923,16,2606
777923,17,2409
777923,18,2401
777923,19,2230
777923,20,1988
777923,21,1650
777923,22,1236
777923,23,999
777932,0,77
777932,1,56
777932,2,94
777932,3,220
777932,4,692
777932,5,990
777932,6,1221
777932,7,1494
777932,8,1362
777932,9,1230
777932,10,1113
777932,11,1020
777932,12,1006
777932,13,990
777932,14,1026
777932,15,1060
777932,16,1130
777932,17,1080
777932,18,821
777932,19,581
777932,20,426
777932,21,360
777932,22,239
777932,23,127
777934,0,544
777934,1,443
777934,2,452
777934,3,720
777934,4,1661
777934,5,2201
777934,6,2740
777934,7,3031
777934,8,2721
777934,9,2667
777934,10,2527
777934,11,2844
777934,12,2639
777934,13,2654
777934,14,2857
777934,15,2917
777934,16,2513
777934,17,2524
777934,18,2547
777934,19,2016
777934,20,1778
777934,21,1530
777934,22,1115
777934,23,767
777935,0,727
777935,1,476
777935,2,418
777935,3,489
777935,4,917
777935,5,3100
777935,6,4155
777935,7,4719
777935,8,4384
777935,9,3815
777935,10,3772
777935,11,3929
777935,12,4104
777935,13,4040
777935,14,4233
777935,15,4359
777935,16,4011
777935,17,3677
777935,18,3562
777935,19,3167
777935,20,2789
777935,21,2213
777935,22,1565
777935,23,1202
777937,0,207
777937,1,122
777937,2,100
777937,3,114
777937,4,245
777937,5,590
777937,6,938
777937,7,1238
777937,8,1324
777937,9,1186
777937,10,1128
777937,11,1186
777937,12,1304
777937,13,1404
777937,14,1642
777937,15,1933
777937,16,2169
777937,17,2124
777937,18,1516
777937,19,1156
777937,20,960
777937,21,734
777937,22,489
777937,23,376
777940,0,721
777940,1,487
777940,2,429
777940,3,482
777940,4,814
777940,5,2313
777940,6,2800
777940,7,2948
777940,8,2856
777940,9,2583
777940,10,2579
777940,11,2542
777940,12,2756
777940,13,2671
777940,14,2755
777940,15,2810
777940,16,2806
777940,17,2631
777940,18,2578
777940,19,2480
777940,20,2258
777940,21,1891
777940,22,1453
777940,23,1152
777947,0,88
777947,1,62
777947,2,100
777947,3,232
777947,4,734
777947,5,1054
777947,6,1519
777947,7,1844
777947,8,1546
777947,9,1366
777947,10,1225
777947,11,1129
777947,12,1129
777947,13,1114
777947,14,1154
777947,15,1198
777947,16,1254
777947,17,1203
777947,18,926
777947,19,676
777947,20,500
777947,21,419
777947,22,275
777947,23,144
777954,0,207
777954,1,120
777954,2,97
777954,3,102
777954,4,212
777954,5,536
777954,6,842
777954,7,1103
777954,8,1178
777954,9,1062
777954,10,1038
777954,11,1082
777954,12,1171
777954,13,1265
777954,14,1512
777954,15,1742
777954,16,1840
777954,17,1983
777954,18,1458
777954,19,1114
777954,20,924
777954,21,714
777954,22,491
777954,23,376
777957,0,563
777957,1,456
777957,2,475
777957,3,783
777957,4,1844
777957,5,2476
777957,6,3041
777957,7,3270
777957,8,3030
777957,9,2857
777957,10,2796
777957,11,3008
777957,12,3015
777957,13,3037
777957,14,3296
777957,15,3378
777957,16,3393
777957,17,3359
777957,18,2905
777957,19,2225
777957,20,1941
777957,21,1639
777957,22,1197
777957,23,810
777958,0,191
777958,1,112
777958,2,92
777958,3,97
777958,4,201
777958,5,506
777958,6,782
777958,7,988
777958,8,1066
777958,9,958
777958,10,931
777958,11,962
777958,12,1032
777958,13,1116
777958,14,1323
777958,15,1581
777958,16,1682
777958,17,1728
777958,18,1292
777958,19,998
777958,20,829
777958,21,647
777958,22,448
777958,23,348
777969,0,523
777969,1,422
777969,2,449
777969,3,748
777969,4,1779
777969,5,2373
777969,6,2817
777969,7,3022
777969,8,2839
777969,9,2696
777969,10,2633
777969,11,2791
777969,12,2635
777969,13,2874
777969,14,3112
777969,15,3220
777969,16,3170
777969,17,3154
777969,18,2750
777969,19,2107
777969,20,1842
777969,21,1544
777969,22,1122
777969,23,765
777980,0,716
777980,1,481
777980,2,423
777980,3,462
777980,4,759
777980,5,2069
777980,6,2791
777980,7,3065
777980,8,2770
777980,9,2564
777980,10,2596
777980,11,2585
777980,12,2511
777980,13,2730
777980,14,2827
777980,15,2948
777980,16,2688
777980,17,2592
777980,18,2534
777980,19,2466
777980,20,2259
777980,21,1851
777980,22,1425
777980,23,1153
777983,0,659
777983,1,517
777983,2,530
777983,3,885
777983,4,2256
777983,5,3386
777983,6,4311
777983,7,4853
777983,8,4462
777983,9,4273
777983,10,4166
777983,11,4514
777983,12,4496
777983,13,4571
777983,14,5047
777983,15,5408
777983,16,5490
777983,17,5264
777983,18,4323
777983,19,3121
777983,20,2659
777983,21,2157
777983,22,1499
777983,23,1016
777984,0,142
777984,1,103
777984,2,136
777984,3,282
777984,4,850
777984,5,1250
777984,6,1794
777984,7,1963
777984,8,1724
777984,9,1657
777984,10,1586
777984,11,1574
777984,12,1610
777984,13,1592
777984,14,1632
777984,15,1614
777984,16,1635
777984,17,1620
777984,18,1348
777984,19,1110
777984,20,907
777984,21,729
777984,22,480
777984,23,254
777988,0,273
777988,1,162
777988,2,134
777988,3,132
777988,4,269
777988,5,673
777988,6,1118
777988,7,1586
777988,8,1751
777988,9,1530
777988,10,1436
777988,11,1462
777988,12,1526
777988,13,1618
777988,14,1842
777988,15,2154
777988,16,2300
777988,17,2283
777988,18,1884
777988,19,1405
777988,20,1160
777988,21,903
777988,22,624
777988,23,478
777989,0,878
777989,1,596
777989,2,509
777989,3,555
777989,4,967
777989,5,2963
777989,6,4441
777989,7,5040
777989,8,4457
777989,9,4077
777989,10,4024
777989,11,4106
777989,12,4266
777989,13,4231
777989,14,4428
777989,15,4687
777989,16,4440
777989,17,4180
777989,18,3849
777989,19,3517
777989,20,3147
777989,21,2533
777989,22,1872
777989,23,1445
777994,0,423
777994,1,341
777994,2,359
777994,3,696
777994,4,2231
777994,5,3296
777994,6,3956
777994,7,4415
777994,8,3780
777994,9,3733
777994,10,3418
777994,11,3828
777994,12,3843
777994,13,3871
777994,14,4274
777994,15,4815
777994,16,5176
777994,17,5074
777994,18,3793
777994,19,2377
777994,20,1880
777994,21,1626
777994,22,1070
777994,23,667
778000,0,324
778000,1,192
778000,2,152
778000,3,151
778000,4,308
778000,5,740
778000,6,1265
778000,7,1769
778000,8,1912
778000,9,1694
778000,10,1582
778000,11,1582
778000,12,1647
778000,13,1748
778000,14,1980
778000,15,2302
778000,16,2432
778000,17,2502
778000,18,2080
778000,19,1580
778000,20,1312
778000,21,1040
778000,22,738
778000,23,568
778012,0,687
778012,1,444
778012,2,368
778012,3,383
778012,4,659
778012,5,1926
778012,6,3087
778012,7,3656
778012,8,3016
778012,9,2967
778012,10,2951
778012,11,3156
778012,12,3275
778012,13,3264
778012,14,3428
778012,15,3699
778012,16,3524
778012,17,3357
778012,18,2968
778012,19,2674
778012,20,2302
778012,21,1946
778012,22,1457
778012,23,1144
778015,0,761
778015,1,608
778015,2,650
778015,3,1159
778015,4,3123
778015,5,4513
778015,6,5293
778015,7,5693
778015,8,5309
778015,9,5265
778015,10,5090
778015,11,5284
778015,12,5283
778015,13,5315
778015,14,5607
778015,15,5873
778015,16,6183
778015,17,6100
778015,18,5078
778015,19,3746
778015,20,3152
778015,21,2652
778015,22,1838
778015,23,1222
778019,0,379
778019,1,271
778019,2,343
778019,3,682
778019,4,1824
778019,5,2158
778019,6,2621
778019,7,2534
778019,8,2462
778019,9,2565
778019,10,2686
778019,11,2641
778019,12,2535
778019,13,2664
778019,14,2578
778019,15,2315
778019,16,2291
778019,17,2412
778019,18,2660
778019,19,2375
778019,20,2079
778019,21,1803
778019,22,1208
778019,23,689
778022,0,443
778022,1,290
778022,2,255
778022,3,298
778022,4,648
778022,5,1321
778022,6,2081
778022,7,2523
778022,8,2422
778022,9,2242
778022,10,2303
778022,11,2521
778022,12,2723
778022,13,2844
778022,14,3203
778022,15,3452
778022,16,3467
778022,17,3314
778022,18,2851
778022,19,2209
778022,20,1997
778022,21,1617
778022,22,1070
778022,23,744
778028,0,520
778028,1,406
778028,2,458
778028,3,856
778028,4,2573
778028,5,3569
778028,6,4068
778028,7,4424
778028,8,4134
778028,9,3940
778028,10,3708
778028,11,3809
778028,12,3844
778028,13,3908
778028,14,4065
778028,15,4302
778028,16,4434
778028,17,4351
778028,18,3569
778028,19,2524
778028,20,2137
778028,21,1826
778028,22,1259
778028,23,820
778034,0,1065
778034,1,677
778034,2,578
778034,3,594
778034,4,1011
778034,5,2566
778034,6,4178
778034,7,5013
778034,8,4553
778034,9,4395
778034,10,4549
778034,11,4739
778034,12,4937
778034,13,4977
778034,14,5179
778034,15,5662
778034,16,5564
778034,17,5339
778034,18,4828
778034,19,4226
778034,20,3772
778034,21,3074
778034,22,2261
778034,23,1724
778046,0,1285
778046,1,821
778046,2,704
778046,3,713
778046,4,1140
778046,5,2571
778046,6,4280
778046,7,5045
778046,8,4787
778046,9,4722
778046,10,4911
778046,11,5047
778046,12,5161
778046,13,5255
778046,14,5479
778046,15,5760
778046,16,5705
778046,17,5606
778046,18,5203
778046,19,4612
778046,20,4002
778046,21,3328
778046,22,2614
778046,23,2035
778052,0,804
778052,1,640
778052,2,718
778052,3,1252
778052,4,3256
778052,5,4479
778052,6,5140
778052,7,5262
778052,8,4906
778052,9,4791
778052,10,4586
778052,11,4622
778052,12,4687
778052,13,4754
778052,14,4902
778052,15,5101
778052,16,5189
778052,17,5045
778052,18,4345
778052,19,3297
778052,20,2905
778052,21,2536
778052,22,1720
778052,23,1243
778059,0,1266
778059,1,794
778059,2,707
778059,3,733
778059,4,1187
778059,5,2810
778059,6,4508
778059,7,5357
778059,8,4952
778059,9,4841
778059,10,5009
778059,11,5179
778059,12,5379
778059,13,5460
778059,14,5640
778059,15,6144
778059,16,6089
778059,17,5902
778059,18,5393
778059,19,4759
778059,20,4222
778059,21,3470
778059,22,2490
778059,23,2010
778063,0,941
778063,1,769
778063,2,839
778063,3,1325
778063,4,3019
778063,5,4763
778063,6,5759
778063,7,6036
778063,8,5811
778063,9,5663
778063,10,5372
778063,11,5341
778063,12,5475
778063,13,5410
778063,14,5545
778063,15,5647
778063,16,5810
778063,17,5830
778063,18,5091
778063,19,3894
778063,20,3351
778063,21,2920
778063,22,2120
778063,23,1478
778107,0,710
778107,1,575
778107,2,723
778107,3,1506
778107,4,3873
778107,5,4592
778107,6,4592
778107,7,4582
778107,8,4584
778107,9,4622
778107,10,4420
778107,11,4401
778107,12,4493
778107,13,4616
778107,14,4625
778107,15,4769
778107,16,4827
778107,17,4833
778107,18,3913
778107,19,3124
778107,20,2874
778107,21,2631
778107,22,1712
778107,23,1166
778109,0,336
778109,1,234
778109,2,215
778109,3,290
778109,4,652
778109,5,1355
778109,6,1979
778109,7,2176
778109,8,2047
778109,9,1877
778109,10,1931
778109,11,2079
778109,12,2274
778109,13,2446
778109,14,2800
778109,15,3049
778109,16,3211
778109,17,3268
778109,18,2430
778109,19,1708
778109,20,1561
778109,21,1264
778109,22,813
778109,23,558
778115,0,1362
778115,1,829
778115,2,728
778115,3,727
778115,4,1074
778115,5,2110
778115,6,3652
778115,7,4605
778115,8,4525
778115,9,4449
778115,10,4584
778115,11,4723
778115,12,4838
778115,13,5186
778115,14,5452
778115,15,5705
778115,16,5649
778115,17,5623
778115,18,5345
778115,19,4700
778115,20,3879
778115,21,3195
778115,22,2532
778115,23,2066
778119,0,291
778119,1,224
778119,2,229
778119,3,305
778119,4,654
778119,5,1794
778119,6,2730
778119,7,2952
778119,8,2693
778119,9,2398
778119,10,2153
778119,11,2057
778119,12,2064
778119,13,2034
778119,14,2150
778119,15,2277
778119,16,2249
778119,17,2136
778119,18,1829
778119,19,1553
778119,20,1201
778119,21,972
778119,22,686
778119,23,507
778143,0,409
778143,1,313
778143,2,308
778143,3,471
778143,4,1110
778143,5,1924
778143,6,2470
778143,7,2552
778143,8,2494
778143,9,2329
778143,10,2341
778143,11,2487
778143,12,2681
778143,13,2902
778143,14,3110
778143,15,3219
778143,16,3277
778143,17,3225
778143,18,2622
778143,19,1968
778143,20,1810
778143,21,1499
778143,22,967
778143,23,662
778144,0,1790
778144,1,1168
778144,2,956
778144,3,926
778144,4,1330
778144,5,2584
778144,6,4593
778144,7,6004
778144,8,5729
778144,9,5495
778144,10,5583
778144,11,5809
778144,12,5993
778144,13,6392
778144,14,6609
778144,15,6741
778144,16,6730
778144,17,6799
778144,18,6603
778144,19,5805
778144,20,4538
778144,21,3940
778144,22,3406
778144,23,2706
778149,0,42
778149,1,31
778149,2,47
778149,3,137
778149,4,337
778149,5,493
778149,6,598
778149,7,738
778149,8,728
778149,9,540
778149,10,591
778149,11,632
778149,12,657
778149,13,718
778149,14,821
778149,15,908
778149,16,1054
778149,17,950
778149,18,662
778149,19,364
778149,20,296
778149,21,220
778149,22,153
778149,23,81
778150,0,415
778150,1,307
778150,2,296
778150,3,371
778150,4,723
778150,5,1883
778150,6,3330
778150,7,3625
778150,8,2999
778150,9,2712
778150,10,2494
778150,11,2453
778150,12,2483
778150,13,2518
778150,14,2791
778150,15,2927
778150,16,2890
778150,17,2771
778150,18,2482
778150,19,2162
778150,20,1635
778150,21,1307
778150,22,941
778150,23,706
778152,0,108
778152,1,65
778152,2,39
778152,3,53
778152,4,134
778152,5,387
778152,6,700
778152,7,726
778152,8,787
778152,9,532
778152,10,523
778152,11,612
778152,12,671
778152,13,700
778152,14,820
778152,15,982
778152,16,931
778152,17,913
778152,18,786
778152,19,534
778152,20,406
778152,21,281
778152,22,222
778152,23,174
778160,0,70
778160,1,49
778160,2,63
778160,3,137
778160,4,288
778160,5,471
778160,6,539
778160,7,562
778160,8,534
778160,9,588
778160,10,575
778160,11,632
778160,12,668
778160,13,671
778160,14,744
778160,15,855
778160,16,1014
778160,17,924
778160,18,667
778160,19,477
778160,20,369
778160,21,266
778160,22,175
778160,23,112
778162,0,117
778162,1,78
778162,2,49
778162,3,63
778162,4,127
778162,5,369
778162,6,596
778162,7,661
778162,8,535
778162,9,540
778162,10,527
778162,11,597
778162,12,670
778162,13,686
778162,14,816
778162,15,924
778162,16,870
778162,17,861
778162,18,780
778162,19,580
778162,20,413
778162,21,343
778162,22,262
778162,23,169
778166,0,283
778166,1,234
778166,2,288
778166,3,580
778166,4,1467
778166,5,2162
778166,6,2005
778166,7,1917
778166,8,1927
778166,9,1866
778166,10,1808
778166,11,1747
778166,12,1793
778166,13,1872
778166,14,1846
778166,15,1824
778166,16,1860
778166,17,1895
778166,18,1528
778166,19,1183
778166,20,1053
778166,21,982
778166,22,687
778166,23,496
778168,0,1616
778168,1,999
778168,2,812
778168,3,789
778168,4,1191
778168,5,2506
778168,6,4612
778168,7,5901
778168,8,5435
778168,9,5193
778168,10,5338
778168,11,5498
778168,12,5727
778168,13,6111
778168,14,6173
778168,15,6067
778168,16,5952
778168,17,5940
778168,18,5962
778168,19,5382
778168,20,4513
778168,21,3780
778168,22,3223
778168,23,2532
778173,0,64
778173,1,50
778173,2,68
778173,3,124
778173,4,299
778173,5,463
778173,6,612
778173,7,612
778173,8,530
778173,9,598
778173,10,571
778173,11,630
778173,12,649
778173,13,662
778173,14,637
778173,15,696
778173,16,825
778173,17,734
778173,18,630
778173,19,453
778173,20,347
778173,21,276
778173,22,176
778173,23,108
778176,0,281
778176,1,168
778176,2,164
778176,3,191
778176,4,340
778176,5,777
778176,6,866
778176,7,1011
778176,8,973
778176,9,960
778176,10,1126
778176,11,1197
778176,12,1322
778176,13,1392
778176,14,1670
778176,15,1885
778176,16,2179
778176,17,2314
778176,18,1980
778176,19,1516
778176,20,1143
778176,21,823
778176,22,693
778176,23,521
778177,0,305
778177,1,201
778177,2,166
778177,3,194
778177,4,347
778177,5,811
778177,6,878
778177,7,981
778177,8,933
778177,9,993
778177,10,1021
778177,11,1242
778177,12,1444
778177,13,1540
778177,14,1703
778177,15,1976
778177,16,2304
778177,17,2397
778177,18,1962
778177,19,1471
778177,20,1203
778177,21,974
778177,22,663
778177,23,486
778178,0,152
778178,1,129
778178,2,213
778178,3,476
778178,4,1117
778178,5,1503
778178,6,1995
778178,7,1894
778178,8,1680
778178,9,1463
778178,10,1359
778178,11,1368
778178,12,1400
778178,13,1471
778178,14,1447
778178,15,1373
778178,16,1342
778178,17,1260
778178,18,1086
778178,19,847
778178,20,704
778178,21,534
778178,22,370
778178,23,299
778179,0,162
778179,1,114
778179,2,201
778179,3,417
778179,4,1020
778179,5,1397
778179,6,1912
778179,7,1948
778179,8,1584
778179,9,1428
778179,10,1316
778179,11,1284
778179,12,1333
778179,13,1328
778179,14,1374
778179,15,1394
778179,16,1359
778179,17,1220
778179,18,1017
778179,19,812
778179,20,675
778179,21,498
778179,22,372
778179,23,309
778181,0,152
778181,1,132
778181,2,233
778181,3,537
778181,4,1294
778181,5,1707
778181,6,2134
778181,7,1891
778181,8,1683
778181,9,1429
778181,10,1313
778181,11,1335
778181,12,1373
778181,13,1347
778181,14,1320
778181,15,1364
778181,16,1357
778181,17,1295
778181,18,1038
778181,19,733
778181,20,633
778181,21,506
778181,22,355
778181,23,278
778182,0,325
778182,1,183
778182,2,172
778182,3,169
778182,4,366
778182,5,740
778182,6,874
778182,7,986
778182,8,855
778182,9,912
778182,10,996
778182,11,1194
778182,12,1331
778182,13,1447
778182,14,1869
778182,15,2170
778182,16,2452
778182,17,2498
778182,18,2117
778182,19,1528
778182,20,1181
778182,21,920
778182,22,708
778182,23,522
778183,0,124
778183,1,70
778183,2,55
778183,3,52
778183,4,85
778183,5,270
778183,6,409
778183,7,451
778183,8,429
778183,9,456
778183,10,465
778183,11,545
778183,12,616
778183,13,660
778183,14,753
778183,15,820
778183,16,843
778183,17,893
778183,18,830
778183,19,657
778183,20,459
778183,21,404
778183,22,291
778183,23,208
778185,0,320
778185,1,189
778185,2,170
778185,3,193
778185,4,332
778185,5,701
778185,6,1003
778185,7,1100
778185,8,947
778185,9,1003
778185,10,1070
778185,11,1246
778185,12,1340
778185,13,1500
778185,14,1791
778185,15,2115
778185,16,2212
778185,17,2320
778185,18,2004
778185,19,1513
778185,20,1227
778185,21,966
778185,22,649
778185,23,523
778186,0,115
778186,1,128
778186,2,188
778186,3,401
778186,4,1179
778186,5,1548
778186,6,2012
778186,7,1990
778186,8,1668
778186,9,1518
778186,10,1442
778186,11,1337
778186,12,1365
778186,13,1397
778186,14,1400
778186,15,1478
778186,16,1351
778186,17,1264
778186,18,1074
778186,19,755
778186,20,582
778186,21,475
778186,22,368
778186,23,308
778189,0,141
778189,1,160
778189,2,200
778189,3,442
778189,4,1248
778189,5,1762
778189,6,2172
778189,7,2264
778189,8,2032
778189,9,1646
778189,10,1510
778189,11,1354
778189,12,1487
778189,13,1519
778189,14,1543
778189,15,1593
778189,16,1579
778189,17,1384
778189,18,1191
778189,19,833
778189,20,661
778189,21,489
778189,22,369
778189,23,331
778190,0,267
778190,1,191
778190,2,146
778190,3,182
778190,4,359
778190,5,651
778190,6,955
778190,7,1080
778190,8,1025
778190,9,1064
778190,10,975
778190,11,1247
778190,12,1371
778190,13,1513
778190,14,1835
778190,15,1987
778190,16,2160
778190,17,2163
778190,18,1950
778190,19,1619
778190,20,1185
778190,21,876
778190,22,688
778190,23,493
778191,0,137
778191,1,131
778191,2,186
778191,3,414
