taz,tad,county,district,district_name,lat_taz,lon_taz,TAZ,lat_district,lon_district
1,95,Pierce,10,South Pierce,47.25107466,-122.2198406,1,47.12806,-122.108131
2,95,Pierce,10,South Pierce,47.25301423,-122.2012324,2,47.12806,-122.108131
3,95,Pierce,10,South Pierce,47.21311756,-122.1852455,3,47.12806,-122.108131
4,95,Pierce,10,South Pierce,47.19893456,-122.1804335,4,47.12806,-122.108131
5,95,Pierce,10,South Pierce,47.19524365,-122.1531079,5,47.12806,-122.108131
6,95,Pierce,10,South Pierce,47.18607744,-122.1793505,6,47.12806,-122.108131
7,95,Pierce,10,South Pierce,47.18607744,-122.1793505,7,47.12806,-122.108131
8,95,Pierce,10,South Pierce,47.18284903,-122.2032764,8,47.12806,-122.108131
9,95,Pierce,10,South Pierce,47.17581796,-122.1805428,9,47.12806,-122.108131
10,95,Pierce,10,South Pierce,47.18078361,-122.158775,10,47.12806,-122.108131
11,95,Pierce,10,South Pierce,47.17245075,-122.1580531,11,47.12806,-122.108131
12,95,Pierce,10,South Pierce,47.17245075,-122.1580531,12,47.12806,-122.108131
13,95,Pierce,10,South Pierce,47.17245075,-122.1580531,13,47.12806,-122.108131
14,95,Pierce,10,South Pierce,47.17245075,-122.1580531,14,47.12806,-122.108131
15,95,Pierce,10,South Pierce,47.17245075,-122.1580531,15,47.12806,-122.108131
16,95,Pierce,10,South Pierce,47.17671154,-122.1308614,16,47.12806,-122.108131
17,95,Pierce,10,South Pierce,47.15735426,-122.1309441,17,47.12806,-122.108131
18,95,Pierce,10,South Pierce,47.15735426,-122.1309441,18,47.12806,-122.108131
19,95,Pierce,10,South Pierce,47.15735426,-122.1309441,19,47.12806,-122.108131
20,95,Pierce,10,South Pierce,47.15754279,-122.1543961,20,47.12806,-122.108131
21,95,Pierce,10,South Pierce,47.15754279,-122.1543961,21,47.12806,-122.108131
22,95,Pierce,10,South Pierce,47.15754279,-122.1543961,22,47.12806,-122.108131
23,95,Pierce,10,South Pierce,47.16038797,-122.1728829,23,47.12806,-122.108131
24,95,Pierce,10,South Pierce,47.16038797,-122.1728829,24,47.12806,-122.108131
25,95,Pierce,10,South Pierce,47.16038797,-122.1728829,25,47.12806,-122.108131
26,95,Pierce,10,South Pierce,47.16038797,-122.1728829,26,47.12806,-122.108131
27,95,Pierce,10,South Pierce,47.16038797,-122.1728829,27,47.12806,-122.108131
28,95,Pierce,10,South Pierce,47.16038797,-122.1728829,28,47.12806,-122.108131
29,95,Pierce,10,South Pierce,47.16038797,-122.1728829,29,47.12806,-122.108131
30,95,Pierce,10,South Pierce,47.16062972,-122.1882477,30,47.12806,-122.108131
31,95,Pierce,10,South Pierce,47.16062972,-122.1882477,31,47.12806,-122.108131
32,95,Pierce,10,South Pierce,47.16062972,-122.1882477,32,47.12806,-122.108131
33,95,Pierce,10,South Pierce,47.16062972,-122.1882477,33,47.12806,-122.108131
34,95,Pierce,10,South Pierce,47.16062972,-122.1882477,34,47.12806,-122.108131
35,95,Pierce,10,South Pierce,47.16629343,-122.2011724,35,47.12806,-122.108131
36,95,Pierce,10,South Pierce,47.16629343,-122.2011724,36,47.12806,-122.108131
37,111,Pierce,10,South Pierce,47.16683867,-122.0432212,37,47.12806,-122.108131
38,111,Pierce,10,South Pierce,47.16036104,-122.0128475,38,47.12806,-122.108131
39,111,Pierce,10,South Pierce,47.15177642,-122.0505627,39,47.12806,-122.108131
40,111,Pierce,10,South Pierce,47.0831426,-122.0606416,40,47.12806,-122.108131
41,105,Pierce,10,South Pierce,47.1376611,-122.6255797,41,47.12806,-122.108131
42,105,Pierce,10,South Pierce,47.10227826,-122.6639827,42,47.12806,-122.108131
43,105,Pierce,10,South Pierce,47.09959776,-122.6343304,43,47.12806,-122.108131
44,105,Pierce,10,South Pierce,47.09959776,-122.6343304,44,47.12806,-122.108131
45,105,Pierce,10,South Pierce,47.09959776,-122.6343304,45,47.12806,-122.108131
46,110,Pierce,10,South Pierce,46.8680287,-122.2690649,46,47.12806,-122.108131
47,110,Pierce,10,South Pierce,46.8680287,-122.2690649,47,47.12806,-122.108131
48,94,Pierce,10,South Pierce,47.23959815,-122.3030789,48,47.12806,-122.108131
49,94,Pierce,10,South Pierce,47.25532115,-122.2865156,49,47.12806,-122.108131
50,94,Pierce,10,South Pierce,47.25191885,-122.2844773,50,47.12806,-122.108131
51,94,Pierce,10,South Pierce,47.24620194,-122.2849174,51,47.12806,-122.108131
52,94,Pierce,10,South Pierce,47.23922963,-122.2867858,52,47.12806,-122.108131
53,94,Pierce,10,South Pierce,47.24252434,-122.2720066,53,47.12806,-122.108131
54,94,Pierce,10,South Pierce,47.25507801,-122.2645807,54,47.12806,-122.108131
55,94,Pierce,10,South Pierce,47.24963551,-122.2656643,55,47.12806,-122.108131
56,94,Pierce,10,South Pierce,47.22642801,-122.2601896,56,47.12806,-122.108131
