ENS,TAZ
gz0,1.0
gz0,2.0
gz0,3.0
gz0,4.0
gz0,5.0
gz0,6.0
gz0,7.0
gz0,8.0
gz0,9.0
gz0,10.0
gz0,11.0
gz0,12.0
gz0,13.0
gz0,14.0
gz0,15.0
gz0,16.0
gz0,17.0
gz0,18.0
gz0,19.0
gz0,20.0
gz0,21.0
gz0,22.0
gz0,23.0
gz0,24.0
gz0,25.0
gz0,26.0
gz0,27.0
gz0,28.0
gz0,29.0
gz0,30.0
gz0,31.0
gz0,32.0
gz0,33.0
gz0,34.0
gz0,35.0
gz0,36.0
gz0,37.0
gz0,38.0
gz0,39.0
gz0,40.0
gz0,41.0
gz0,42.0
gz0,43.0
gz0,44.0
gz0,45.0
gz0,46.0
gz0,47.0
gz0,48.0
gz0,49.0
gz0,50.0
gz0,51.0
gz0,52.0
gz0,53.0
gz0,54.0
gz0,55.0
gz0,56.0
gz0,57.0
gz0,58.0
gz0,59.0
gz0,60.0
gz0,61.0
gz0,62.0
gz0,63.0
gz0,64.0
gz0,65.0
gz0,66.0
gz0,67.0
gz0,68.0
gz0,69.0
gz0,70.0
gz0,71.0
gz0,72.0
gz0,73.0
gz0,74.0
gz0,75.0
gz0,76.0
gz0,77.0
gz0,78.0
gz0,79.0
gz0,80.0
gz0,81.0
gz0,82.0
gz0,83.0
gz0,84.0
gz0,85.0
gz0,86.0
gz0,87.0
gz0,88.0
gz0,89.0
gz0,90.0
gz0,91.0
gz0,92.0
gz0,93.0
gz0,94.0
gz0,95.0
gz0,96.0
gz0,97.0
gz0,98.0
gz0,99.0
gz0,100.0
gz0,101.0
gz0,102.0
gz0,103.0
gz0,104.0
gz0,105.0
gz0,106.0
gz0,107.0
gz0,108.0
gz0,109.0
gz0,110.0
gz0,111.0
gz0,112.0
gz0,113.0
gz0,114.0
gz0,115.0
gz0,116.0
gz0,117.0
gz0,118.0
gz0,119.0
gz0,120.0
gz0,121.0
gz0,122.0
gz0,123.0
gz0,124.0
gz0,125.0
gz37,126.0
gz37,127.0
gz37,128.0
gz37,129.0
gz37,130.0
gz37,131.0
gz37,132.0
gz37,133.0
gz37,134.0
gz37,135.0
gz37,136.0
gz37,137.0
gz0,138.0
gz0,139.0
gz0,140.0
gz0,141.0
gz0,142.0
gz0,143.0
gz0,144.0
gz0,145.0
gz0,146.0
gz0,147.0
gz0,148.0
gz0,149.0
gz37,150.0
gz37,151.0
gz37,152.0
gz37,153.0
gz37,154.0
gz37,155.0
gz37,156.0
gz37,157.0
gz38,158.0
gz38,159.0
gz38,160.0
gz38,161.0
gz38,162.0
gz0,163.0
gz0,164.0
gz0,165.0
gz0,166.0
gz0,167.0
gz0,168.0
gz0,169.0
gz0,170.0
gz0,171.0
gz0,172.0
gz0,173.0
gz0,174.0
gz0,175.0
gz0,176.0
gz0,177.0
gz0,178.0
gz38,179.0
gz38,180.0
gz0,181.0
gz0,182.0
gz0,183.0
gz0,184.0
gz0,185.0
gz0,186.0
gz0,187.0
gz0,188.0
gz0,189.0
gz0,190.0
gz0,191.0
gz0,192.0
gz0,193.0
gz0,194.0
gz0,195.0
gz0,196.0
gz0,197.0
gz0,198.0
gz0,199.0
gz0,200.0
gz0,201.0
gz0,202.0
gz0,203.0
gz0,204.0
gz0,205.0
gz35,206.0
gz35,207.0
gz35,208.0
gz35,209.0
gz35,210.0
gz35,211.0
gz35,212.0
gz35,213.0
gz35,214.0
gz35,215.0
gz35,216.0
gz35,217.0
gz35,218.0
gz35,219.0
gz35,220.0
gz35,221.0
gz35,222.0
gz35,223.0
gz35,224.0
gz35,225.0
gz35,226.0
gz35,227.0
gz0,228.0
gz0,229.0
gz0,230.0
gz0,231.0
gz0,232.0
gz0,233.0
gz0,234.0
gz0,235.0
gz0,236.0
gz0,237.0
gz0,238.0
gz0,239.0
gz0,240.0
gz0,241.0
gz0,242.0
gz35,243.0
gz35,244.0
gz35,245.0
gz35,246.0
gz35,247.0
gz0,248.0
gz0,249.0
gz0,250.0
gz0,251.0
gz0,252.0
gz0,253.0
gz0,254.0
gz0,255.0
gz0,256.0
gz0,257.0
gz0,258.0
gz0,259.0
gz0,260.0
gz0,261.0
gz36,262.0
gz36,263.0
gz36,264.0
gz36,265.0
gz36,266.0
gz36,267.0
gz36,268.0
gz36,269.0
gz36,270.0
gz36,271.0
gz36,272.0
gz36,273.0
gz36,274.0
gz36,275.0
gz36,276.0
gz36,277.0
gz36,278.0
gz36,279.0
gz36,280.0
gz36,281.0
gz36,282.0
gz36,283.0
gz36,284.0
gz36,285.0
gz36,286.0
gz36,287.0
gz36,288.0
gz0,289.0
gz0,290.0
gz0,291.0
gz0,292.0
gz0,293.0
gz0,294.0
gz0,295.0
gz0,296.0
gz0,297.0
gz0,298.0
gz0,299.0
gz0,300.0
gz0,301.0
gz0,302.0
gz0,303.0
gz0,304.0
gz0,305.0
gz0,306.0
gz0,307.0
gz0,308.0
gz0,309.0
gz0,310.0
gz0,311.0
gz0,312.0
gz0,313.0
gz0,314.0
gz0,315.0
gz0,316.0
gz0,317.0
gz0,318.0
gz0,319.0
gz0,320.0
gz0,321.0
gz0,322.0
gz0,323.0
gz0,324.0
gz0,325.0
gz0,326.0
gz0,327.0
gz0,328.0
gz0,329.0
gz0,330.0
gz0,331.0
gz0,332.0
gz0,333.0
gz0,334.0
gz0,335.0
gz0,336.0
gz0,337.0
gz0,338.0
gz0,339.0
gz4,340.0
gz4,341.0
gz4,342.0
gz4,343.0
gz4,344.0
gz4,345.0
gz4,346.0
gz4,347.0
gz4,348.0
gz4,349.0
gz4,350.0
gz4,351.0
gz4,352.0
gz4,353.0
gz4,354.0
gz4,355.0
gz4,356.0
gz4,357.0
gz4,358.0
gz4,359.0
gz4,360.0
gz4,361.0
gz4,362.0
gz4,363.0
gz4,364.0
gz4,365.0
gz4,366.0
gz4,367.0
gz4,368.0
gz4,369.0
gz4,370.0
gz4,371.0
gz4,372.0
gz4,373.0
gz4,374.0
gz4,375.0
gz4,376.0
gz4,377.0
gz4,378.0
gz4,379.0
gz4,380.0
gz4,381.0
gz4,382.0
gz4,383.0
gz4,384.0
gz4,385.0
gz4,386.0
gz4,387.0
gz4,388.0
gz4,389.0
gz4,390.0
gz4,391.0
gz4,392.0
gz4,393.0
gz4,394.0
gz4,395.0
gz4,396.0
gz4,397.0
gz0,398.0
gz0,399.0
gz0,400.0
gz0,401.0
gz0,402.0
gz0,403.0
gz0,404.0
gz0,405.0
gz0,406.0
gz0,407.0
gz0,408.0
gz0,409.0
gz0,410.0
gz0,411.0
gz0,412.0
gz0,413.0
gz0,414.0
gz0,415.0
gz0,416.0
gz0,417.0
gz0,418.0
gz0,419.0
gz0,420.0
gz0,421.0
gz15,422.0
gz15,423.0
gz15,424.0
gz15,425.0
gz15,426.0
gz15,427.0
gz0,428.0
gz0,429.0
gz0,430.0
gz0,431.0
gz0,432.0
gz0,433.0
gz0,434.0
gz0,435.0
gz0,436.0
gz0,437.0
gz0,438.0
gz0,439.0
gz0,440.0
gz0,441.0
gz0,442.0
gz0,443.0
gz15,444.0
gz15,445.0
gz15,446.0
gz0,447.0
gz0,448.0
gz0,449.0
gz0,450.0
gz0,451.0
gz0,452.0
gz0,453.0
gz0,454.0
gz0,455.0
gz0,456.0
gz0,457.0
gz0,458.0
gz0,459.0
gz0,460.0
gz0,461.0
gz0,462.0
gz0,463.0
gz0,464.0
gz0,465.0
gz0,466.0
gz0,467.0
gz0,468.0
gz0,469.0
gz0,470.0
gz0,471.0
gz0,472.0
gz0,473.0
gz0,474.0
gz0,475.0
gz0,476.0
gz0,477.0
gz0,478.0
gz0,479.0
gz0,480.0
gz0,481.0
gz0,482.0
gz0,483.0
gz0,484.0
gz0,485.0
gz0,486.0
gz0,487.0
gz0,488.0
gz0,489.0
gz0,490.0
gz0,491.0
gz0,492.0
gz0,493.0
gz0,494.0
gz0,495.0
gz0,496.0
gz0,497.0
gz0,498.0
gz0,499.0
gz0,500.0
gz0,501.0
gz4,502.0
gz4,503.0
gz4,504.0
gz0,505.0
gz0,506.0
gz39,507.0
gz39,508.0
gz0,509.0
gz0,510.0
gz0,511.0
gz0,512.0
gz39,513.0
gz39,514.0
gz0,515.0
gz0,516.0
gz0,517.0
gz0,518.0
gz0,519.0
gz0,520.0
gz0,521.0
gz0,522.0
gz0,523.0
gz0,524.0
gz0,525.0
gz0,526.0
gz0,527.0
gz0,528.0
gz39,529.0
gz39,530.0
gz39,531.0
gz39,532.0
gz39,533.0
gz39,534.0
gz39,535.0
gz39,536.0
gz39,537.0
gz39,538.0
gz39,539.0
gz0,540.0
gz0,541.0
gz0,542.0
gz0,543.0
gz0,544.0
gz0,545.0
gz0,546.0
gz0,547.0
gz0,548.0
gz0,549.0
gz0,550.0
gz0,551.0
gz0,552.0
gz0,553.0
gz0,554.0
gz0,555.0
gz0,556.0
gz0,557.0
gz0,558.0
gz0,559.0
gz0,560.0
gz0,561.0
gz0,562.0
gz0,563.0
gz0,564.0
gz0,565.0
gz0,566.0
gz0,567.0
gz4,568.0
gz0,569.0
gz0,570.0
gz0,571.0
gz0,572.0
gz0,573.0
gz0,574.0
gz0,575.0
gz0,576.0
gz0,577.0
gz0,578.0
gz0,579.0
gz0,580.0
gz0,581.0
gz0,582.0
gz0,583.0
gz0,584.0
gz0,585.0
gz0,586.0
gz39,587.0
gz39,588.0
gz39,589.0
gz39,590.0
gz39,591.0
gz39,592.0
gz39,593.0
gz0,594.0
gz0,595.0
gz0,596.0
gz0,597.0
gz0,598.0
gz0,599.0
gz0,600.0
gz0,601.0
gz0,602.0
gz0,603.0
gz0,604.0
gz0,605.0
gz0,606.0
gz0,607.0
gz0,608.0
gz0,609.0
gz0,610.0
gz0,611.0
gz0,612.0
gz0,613.0
gz0,614.0
gz0,615.0
gz0,616.0
gz0,617.0
gz0,618.0
gz0,619.0
gz0,620.0
gz0,621.0
gz0,622.0
gz0,623.0
gz0,624.0
gz0,625.0
gz0,626.0
gz0,627.0
gz0,628.0
gz0,629.0
gz0,630.0
gz0,631.0
gz0,632.0
gz0,633.0
gz0,634.0
gz0,635.0
gz0,636.0
gz0,637.0
gz0,638.0
gz0,639.0
gz0,640.0
gz0,641.0
gz0,642.0
gz0,643.0
gz0,644.0
gz0,645.0
gz0,646.0
gz0,647.0
gz0,648.0
gz0,649.0
gz0,650.0
gz0,651.0
gz0,652.0
gz0,653.0
gz0,654.0
gz0,655.0
gz0,656.0
gz0,657.0
gz0,658.0
gz0,659.0
gz0,660.0
