taz,geog_name,district,lat_1,lon_1
1,Pierce County,South Pierce,47.157764,-122.432047
2,Pierce County,South Pierce,47.157764,-122.432047
3,Pierce County,South Pierce,47.157764,-122.432047
4,Pierce County,South Pierce,47.157764,-122.432047
5,Pierce County,South Pierce,47.157764,-122.432047
6,Pierce County,South Pierce,47.157764,-122.432047
7,Pierce County,South Pierce,47.157764,-122.432047
8,Pierce County,South Pierce,47.157764,-122.432047
9,Pierce County,South Pierce,47.157764,-122.432047
10,Pierce County,South Pierce,47.157764,-122.432047
11,Pierce County,South Pierce,47.157764,-122.432047
12,Pierce County,South Pierce,47.157764,-122.432047
13,Pierce County,South Pierce,47.157764,-122.432047
14,Pierce County,South Pierce,47.157764,-122.432047
15,Pierce County,South Pierce,47.157764,-122.432047
16,Pierce County,South Pierce,47.157764,-122.432047
17,Pierce County,South Pierce,47.157764,-122.432047
18,Pierce County,South Pierce,47.157764,-122.432047
19,Pierce County,South Pierce,47.157764,-122.432047
20,Pierce County,South Pierce,47.157764,-122.432047
21,Pierce County,South Pierce,47.157764,-122.432047
22,Pierce County,South Pierce,47.157764,-122.432047
23,Pierce County,South Pierce,47.157764,-122.432047
24,Pierce County,South Pierce,47.157764,-122.432047
25,Pierce County,South Pierce,47.157764,-122.432047
26,Pierce County,South Pierce,47.157764,-122.432047
27,Pierce County,South Pierce,47.157764,-122.432047
28,Pierce County,South Pierce,47.157764,-122.432047
29,Pierce County,South Pierce,47.157764,-122.432047
30,Pierce County,South Pierce,47.157764,-122.432047
31,Pierce County,South Pierce,47.157764,-122.432047
32,Pierce County,South Pierce,47.157764,-122.432047
33,Pierce County,South Pierce,47.157764,-122.432047
34,Pierce County,South Pierce,47.157764,-122.432047
35,Pierce County,South Pierce,47.157764,-122.432047
36,Pierce County,South Pierce,47.157764,-122.432047
37,Pierce County,South Pierce,47.157764,-122.432047
38,Pierce County,South Pierce,47.157764,-122.432047
39,Pierce County,South Pierce,47.157764,-122.432047
40,Pierce County,South Pierce,47.157764,-122.432047
41,Pierce County,South Pierce,47.157764,-122.432047
42,Pierce County,South Pierce,47.157764,-122.432047
43,Pierce County,South Pierce,47.157764,-122.432047
44,Pierce County,South Pierce,47.157764,-122.432047
45,Pierce County,South Pierce,47.157764,-122.432047
46,Pierce County,South Pierce,47.157764,-122.432047
47,Pierce County,South Pierce,47.157764,-122.432047
48,Pierce County,South Pierce,47.157764,-122.432047
49,Pierce County,South Pierce,47.157764,-122.432047
50,Pierce County,South Pierce,47.157764,-122.432047
51,Pierce County,South Pierce,47.157764,-122.432047
52,Pierce County,South Pierce,47.157764,-122.432047
53,Pierce County,South Pierce,47.157764,-122.432047
54,Pierce County,South Pierce,47.157764,-122.432047
55,Pierce County,South Pierce,47.157764,-122.432047
56,Pierce County,South Pierce,47.157764,-122.432047
57,Pierce County,South Pierce,47.157764,-122.432047
58,Pierce County,South Pierce,47.157764,-122.432047
59,Pierce County,South Pierce,47.157764,-122.432047
60,Pierce County,South Pierce,47.157764,-122.432047
61,Pierce County,Tacoma,47.157764,-122.432047
62,Pierce County,Tacoma,47.157764,-122.432047
63,Pierce County,Tacoma,47.157764,-122.432047
64,Pierce County,Tacoma,47.157764,-122.432047
65,Pierce County,Tacoma,47.157764,-122.432047
66,Pierce County,Tacoma,47.157764,-122.432047
67,Pierce County,Tacoma,47.157764,-122.432047
68,Pierce County,Tacoma,47.157764,-122.432047
69,Pierce County,South Pierce,47.157764,-122.432047
70,Pierce County,South Pierce,47.157764,-122.432047
71,Pierce County,Tacoma,47.157764,-122.432047
72,Pierce County,Tacoma,47.157764,-122.432047
73,Pierce County,Tacoma,47.157764,-122.432047
74,Pierce County,Tacoma,47.157764,-122.432047
75,Pierce County,Tacoma,47.157764,-122.432047
76,Pierce County,Tacoma,47.157764,-122.432047
77,Pierce County,Tacoma,47.157764,-122.432047
78,Pierce County,Tacoma,47.157764,-122.432047
79,Pierce County,Tacoma,47.157764,-122.432047
80,Pierce County,South Pierce,47.157764,-122.432047
81,Pierce County,South Pierce,47.157764,-122.432047
82,Pierce County,South Pierce,47.157764,-122.432047
83,Pierce County,South Pierce,47.157764,-122.432047
84,Pierce County,South Pierce,47.157764,-122.432047
85,Pierce County,South Pierce,47.157764,-122.432047
86,Pierce County,South Pierce,47.157764,-122.432047
87,Pierce County,South Pierce,47.157764,-122.432047
88,Pierce County,S.Kitsap,47.157764,-122.432047
89,Pierce County,S.Kitsap,47.157764,-122.432047
90,Pierce County,S.Kitsap,47.157764,-122.432047
91,Pierce County,S.Kitsap,47.157764,-122.432047
92,Pierce County,S.Kitsap,47.157764,-122.432047
93,Pierce County,S.Kitsap,47.157764,-122.432047
94,Pierce County,S.Kitsap,47.157764,-122.432047
95,Pierce County,S.Kitsap,47.157764,-122.432047
96,Pierce County,S.Kitsap,47.157764,-122.432047
97,Pierce County,S.Kitsap,47.157764,-122.432047
98,Pierce County,S.Kitsap,47.157764,-122.432047
99,Pierce County,S.Kitsap,47.157764,-122.432047
100,Pierce County,S.Kitsap,47.157764,-122.432047
101,Pierce County,S.Kitsap,47.157764,-122.432047
102,Pierce County,S.Kitsap,47.157764,-122.432047
103,Pierce County,S.Kitsap,47.157764,-122.432047
104,Pierce County,S.Kitsap,47.157764,-122.432047
105,Pierce County,S.Kitsap,47.157764,-122.432047
106,Pierce County,S.Kitsap,47.157764,-122.432047
107,Pierce County,S.Kitsap,47.157764,-122.432047
108,Pierce County,South Pierce,47.157764,-122.432047
109,Pierce County,South Pierce,47.157764,-122.432047
110,Pierce County,South Pierce,47.157764,-122.432047
111,Pierce County,South Pierce,47.157764,-122.432047
112,Pierce County,South Pierce,47.157764,-122.432047
113,Pierce County,South Pierce,47.157764,-122.432047
114,Pierce County,South Pierce,47.157764,-122.432047
115,Pierce County,South Pierce,47.157764,-122.432047
116,Pierce County,South Pierce,47.157764,-122.432047
117,Pierce County,South Pierce,47.157764,-122.432047
118,Pierce County,South Pierce,47.157764,-122.432047
119,Pierce County,South Pierce,47.157764,-122.432047
120,Pierce County,South Pierce,47.157764,-122.432047
121,Pierce County,South Pierce,47.157764,-122.432047
122,Pierce County,South Pierce,47.157764,-122.432047
123,Pierce County,South Pierce,47.157764,-122.432047
124,Pierce County,South Pierce,47.157764,-122.432047
125,Pierce County,South Pierce,47.157764,-122.432047
126,Pierce County,South Pierce,47.157764,-122.432047
127,Pierce County,South Pierce,47.157764,-122.432047
128,Pierce County,South Pierce,47.157764,-122.432047
129,Pierce County,South Pierce,47.157764,-122.432047
130,Pierce County,South Pierce,47.157764,-122.432047
131,Pierce County,South Pierce,47.157764,-122.432047
132,Pierce County,South Pierce,47.157764,-122.432047
133,Pierce County,South Pierce,47.157764,-122.432047
134,Pierce County,South Pierce,47.157764,-122.432047
135,Pierce County,South Pierce,47.157764,-122.432047
136,Pierce County,South Pierce,47.157764,-122.432047
137,Pierce County,South Pierce,47.157764,-122.432047
138,Pierce County,South Pierce,47.157764,-122.432047
139,Pierce County,South Pierce,47.157764,-122.432047
140,Pierce County,South Pierce,47.157764,-122.432047
141,Pierce County,South Pierce,47.157764,-122.432047
142,Pierce County,South Pierce,47.157764,-122.432047
143,Pierce County,South Pierce,47.157764,-122.432047
144,Pierce County,South Pierce,47.157764,-122.432047
145,Pierce County,South Pierce,47.157764,-122.432047
146,Pierce County,South Pierce,47.157764,-122.432047
147,Pierce County,South Pierce,47.157764,-122.432047
148,Pierce County,South Pierce,47.157764,-122.432047
149,Pierce County,South Pierce,47.157764,-122.432047
150,Pierce County,South Pierce,47.157764,-122.432047
151,Pierce County,South Pierce,47.157764,-122.432047
152,Pierce County,South Pierce,47.157764,-122.432047
153,Pierce County,South Pierce,47.157764,-122.432047
154,Pierce County,South Pierce,47.157764,-122.432047
155,Pierce County,South Pierce,47.157764,-122.432047
156,Pierce County,South Pierce,47.157764,-122.432047
157,Pierce County,South Pierce,47.157764,-122.432047
158,Pierce County,South Pierce,47.157764,-122.432047
159,Pierce County,South Pierce,47.157764,-122.432047
160,Pierce County,South Pierce,47.157764,-122.432047
161,Pierce County,South Pierce,47.157764,-122.432047
162,Pierce County,South Pierce,47.157764,-122.432047
163,Pierce County,South Pierce,47.157764,-122.432047
164,Pierce County,South Pierce,47.157764,-122.432047
165,Pierce County,South Pierce,47.157764,-122.432047
166,Pierce County,South Pierce,47.157764,-122.432047
167,Pierce County,South Pierce,47.157764,-122.432047
168,Pierce County,South Pierce,47.157764,-122.432047
169,Pierce County,South Pierce,47.157764,-122.432047
170,Pierce County,South Pierce,47.157764,-122.432047
171,Pierce County,South Pierce,47.157764,-122.432047
172,Pierce County,South Pierce,47.157764,-122.432047
173,Pierce County,South Pierce,47.157764,-122.432047
174,Pierce County,South Pierce,47.157764,-122.432047
175,Pierce County,South Pierce,47.157764,-122.432047
176,Pierce County,South Pierce,47.157764,-122.432047
177,Pierce County,South Pierce,47.157764,-122.432047
178,Pierce County,South Pierce,47.157764,-122.432047
179,Pierce County,South Pierce,47.157764,-122.432047
180,Pierce County,South Pierce,47.157764,-122.432047
181,Pierce County,South Pierce,47.157764,-122.432047
182,Pierce County,South Pierce,47.157764,-122.432047
183,Pierce County,South Pierce,47.157764,-122.432047
184,Pierce County,South Pierce,47.157764,-122.432047
185,Pierce County,South Pierce,47.157764,-122.432047
186,Pierce County,South Pierce,47.157764,-122.432047
187,Pierce County,South Pierce,47.157764,-122.432047
188,Pierce County,South Pierce,47.157764,-122.432047
189,Pierce County,South Pierce,47.157764,-122.432047
190,Pierce County,South Pierce,47.157764,-122.432047
191,Pierce County,South Pierce,47.157764,-122.432047
192,Pierce County,South Pierce,47.157764,-122.432047
193,Pierce County,South Pierce,47.157764,-122.432047
194,Pierce County,South Pierce,47.157764,-122.432047
195,Pierce County,South Pierce,47.157764,-122.432047
196,Pierce County,South Pierce,47.157764,-122.432047
197,Pierce County,South Pierce,47.157764,-122.432047
198,Pierce County,South Pierce,47.157764,-122.432047
199,Pierce County,South Pierce,47.157764,-122.432047
200,Pierce County,South Pierce,47.157764,-122.432047
201,Pierce County,South Pierce,47.157764,-122.432047
202,Pierce County,South Pierce,47.157764,-122.432047
203,Pierce County,South Pierce,47.157764,-122.432047
204,Pierce County,South Pierce,47.157764,-122.432047
205,Pierce County,South Pierce,47.157764,-122.432047
206,Pierce County,South Pierce,47.157764,-122.432047
207,Pierce County,South Pierce,47.157764,-122.432047
208,Pierce County,South Pierce,47.157764,-122.432047
209,Pierce County,South Pierce,47.157764,-122.432047
210,Pierce County,South Pierce,47.157764,-122.432047
211,Pierce County,South Pierce,47.157764,-122.432047
212,Pierce County,South Pierce,47.157764,-122.432047
213,Pierce County,South Pierce,47.157764,-122.432047
214,Pierce County,South Pierce,47.157764,-122.432047
215,Pierce County,South Pierce,47.157764,-122.432047
216,Pierce County,South Pierce,47.157764,-122.432047
217,Pierce County,South Pierce,47.157764,-122.432047
218,Pierce County,South Pierce,47.157764,-122.432047
219,Pierce County,South Pierce,47.157764,-122.432047
220,Pierce County,South Pierce,47.157764,-122.432047
221,Pierce County,South Pierce,47.157764,-122.432047
222,Pierce County,South Pierce,47.157764,-122.432047
223,Pierce County,South Pierce,47.157764,-122.432047
224,Pierce County,South Pierce,47.157764,-122.432047
225,Pierce County,South Pierce,47.157764,-122.432047
226,Pierce County,South Pierce,47.157764,-122.432047
227,Pierce County,South Pierce,47.157764,-122.432047
228,Pierce County,South Pierce,47.157764,-122.432047
229,Pierce County,South Pierce,47.157764,-122.432047
230,Pierce County,South Pierce,47.157764,-122.432047
231,Pierce County,South Pierce,47.157764,-122.432047
232,Pierce County,South Pierce,47.157764,-122.432047
233,Pierce County,South Pierce,47.157764,-122.432047
234,Pierce County,South Pierce,47.157764,-122.432047
235,Pierce County,South Pierce,47.157764,-122.432047
236,Pierce County,South Pierce,47.157764,-122.432047
237,Pierce County,South Pierce,47.157764,-122.432047
238,Pierce County,South Pierce,47.157764,-122.432047
239,Pierce County,South Pierce,47.157764,-122.432047
240,Pierce County,South Pierce,47.157764,-122.432047
241,Pierce County,South Pierce,47.157764,-122.432047
242,Pierce County,South Pierce,47.157764,-122.432047
243,Pierce County,South Pierce,47.157764,-122.432047
244,Pierce County,South Pierce,47.157764,-122.432047
245,Pierce County,South Pierce,47.157764,-122.432047
246,Pierce County,South Pierce,47.157764,-122.432047
